subid,nll_idrnn_task0,nll_idrnn_task1,nll_idrnn_all,nll_cp_rnn_task0,nll_cp_rnn_task1,nll_cp_rnn_all,nll_vanilla_task0,nll_vanilla_task1,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
48,0.507720410823822,0.48243287205696106,0.49760544300079346,0.4965426027774811,0.4998439848423004,0.49786314368247986,0.4576454758644104,0.47705405950546265,0.4654088318347931,0.5763601064447573,0.6507429463483393,0.779191058978136,0.785006494496666
49,0.325613409280777,0.6107270121574402,0.43965891003608704,0.3731878995895386,0.6117128729820251,0.4685978591442108,0.34021395444869995,0.5850726366043091,0.43815743923187256,0.657902372548362,0.6543365183179182,0.8122340737623968,0.8294319591738574
51,0.578097403049469,0.5098262429237366,0.550788938999176,0.5747487545013428,0.5112291574478149,0.5493409037590027,0.5501410961151123,0.5166460871696472,0.5367431044578552,0.5742928236015384,0.6029794457845569,0.6807543209847018,0.6773959791745566
52,0.4016900062561035,0.43446603417396545,0.41480037569999695,0.39496147632598877,0.4351685643196106,0.41104423999786377,0.3947213888168335,0.443360298871994,0.41417691111564636,0.4635873657857077,0.5166703921147393,0.4932871589290692,0.5336099356449558
53,0.4711809456348419,0.6292761564254761,0.5344190001487732,0.45684394240379333,0.6274597644805908,0.5250903367996216,0.4376738965511322,0.6133168935775757,0.507931113243103,0.630771080319372,0.6357998898557382,0.675723062851227,0.6959291849361892
55,0.5084579586982727,0.8974344730377197,0.6640486121177673,0.5211009383201599,0.9037076830863953,0.6741436719894409,0.5113458633422852,0.8860771059989929,0.6612383723258972,0.6678418144787788,0.7160805687141352,0.7038430523261346,0.7042006512641928
56,0.44445815682411194,0.44833239912986755,0.4460078477859497,0.43952465057373047,0.457791805267334,0.4468315541744232,0.4188946783542633,0.44287410378456116,0.4284863770008087,0.4621178286257064,0.4913713271467987,0.4997453222746051,0.5527160213816998
59,0.44826433062553406,0.630687952041626,0.5212337374687195,0.4305900037288666,0.6309197545051575,0.5107218623161316,0.4318215548992157,0.6198505759239197,0.5070331692695618,0.594217288403582,0.6014735336339149,0.6120634711298325,0.6284016278758039
60,0.5453876256942749,0.5552422404289246,0.5493295192718506,0.5446128249168396,0.5618293285369873,0.5514994263648987,0.47567158937454224,0.5212559103965759,0.493905246257782,0.6212656124002669,0.638142050568006,0.6506054952153673,0.6613505859857046
61,0.3919139504432678,0.5971412062644958,0.4740048050880432,0.40847527980804443,0.6002546548843384,0.48518696427345276,0.38259658217430115,0.5750740766525269,0.45958757400512695,0.5628679304778628,0.5893536040160374,0.6008576930557236,0.6163035778414548
63,0.18370646238327026,0.3073507845401764,0.2331642061471939,0.2823446989059448,0.33081382513046265,0.3017323315143585,0.26407358050346375,0.32565975189208984,0.28870806097984314,0.4954802701219993,0.5336956817005913,0.5469866170597624,0.6037714914557144
64,0.4535693824291229,0.5192220211029053,0.4798305332660675,0.4485158622264862,0.5177730917930603,0.4762187600135803,0.424539715051651,0.5087382197380066,0.45821911096572876,0.5594501739754956,0.5561401215162619,0.5601125548921639,0.5854091116611596
65,0.36660119891166687,0.6548358798027039,0.4818950593471527,0.4096333682537079,0.6566523909568787,0.5084409713745117,0.3412937521934509,0.6140129566192627,0.45038145780563354,0.6030138434478896,0.6560215025663031,0.6591082262487458,0.6703545306170782
69,0.5114713311195374,0.42268073558807373,0.475955069065094,0.4648151397705078,0.4288862347602844,0.4504436254501343,0.4870799481868744,0.43523815274238586,0.4663432538509369,0.531857987043391,0.569160699856679,0.5792921056280077,0.6022118760694021
70,0.37258899211883545,0.5720157623291016,0.452359676361084,0.3686048686504364,0.5736315250396729,0.4506155252456665,0.383752703666687,0.580765426158905,0.46255773305892944,0.5862100859685949,0.5940171037868124,0.6613131027935762,0.6639102006796027
71,0.5868542194366455,0.49572354555130005,0.5504019260406494,0.5373335480690002,0.503348171710968,0.5237394571304321,0.5163965821266174,0.5016009211540222,0.5104782581329346,0.5441069418868335,0.5870475630090147,0.6810461904832992,0.6934030347548223
72,0.5319384336471558,0.6527162790298462,0.5802496075630188,0.5236416459083557,0.6531099677085876,0.5754290223121643,0.5116041302680969,0.6242336630821228,0.5566559433937073,0.6762894988378029,0.6802575935135888,0.7601481242640695,0.7575068076047412
73,0.26163673400878906,0.4781869351863861,0.34825679659843445,0.30761945247650146,0.4915704131126404,0.3811998665332794,0.2832240164279938,0.4769063889980316,0.360696941614151,0.5522104870482739,0.5821000104244872,0.7450344877615486,0.7472835954656009
74,0.3883386254310608,0.45467060804367065,0.4148713946342468,0.41103652119636536,0.46086978912353516,0.43096980452537537,0.38959407806396484,0.465263307094574,0.419861763715744,0.5207452772312524,0.5571841242348539,0.5612020654419781,0.587485956830953
75,0.8478119969367981,0.726216197013855,0.7991736531257629,0.8533077836036682,0.7259108424186707,0.8023489713668823,0.7806967496871948,0.7356482744216919,0.7626773118972778,0.6965336958469238,0.7147693160553672,0.7619302138801484,0.7609664968469538
76,0.5102162957191467,0.4548181891441345,0.4880569875240326,0.48286548256874084,0.45734211802482605,0.4726561903953552,0.46785005927085876,0.45941442251205444,0.4644757807254791,0.5842090727063215,0.5858421714607085,0.6480643703455091,0.654356880691062
77,0.24277201294898987,0.6393298506736755,0.40139511227607727,0.2959272563457489,0.6357786059379578,0.431867778301239,0.2844139039516449,0.6338660717010498,0.42419472336769104,0.604354702467097,0.631211803686894,0.7838980644376458,0.7873823713092792
78,0.3936181366443634,0.7583005428314209,0.5394910573959351,0.35299476981163025,0.7597774267196655,0.515707790851593,0.3810688257217407,0.7727660536766052,0.5377476811408997,0.6646104891927904,0.6669311239470085,0.6571121963118115,0.6645894993589697
79,0.4913908839225769,0.7245864868164062,0.5846691131591797,0.4855729937553406,0.7240679264068604,0.5809710025787354,0.49830162525177,0.7435162663459778,0.5963875651359558,0.618660096750616,0.6432947311291327,0.6491561504344733,0.6546572572983671
