dataset_id,fold,session,nll_summed
2,0,34,63.14421844482422
2,0,35,127.20320892333984
2,0,36,132.8776397705078
2,0,37,66.7617416381836
2,0,38,86.29499816894531
2,0,39,141.49740600585938
2,0,40,100.49940490722656
2,0,41,73.976806640625
2,0,42,104.5069351196289
2,0,43,87.08619689941406
2,0,44,72.46681213378906
2,0,45,133.43016052246094
2,0,46,70.85801696777344
2,0,47,83.66378021240234
2,0,48,65.88157653808594
2,0,49,130.32675170898438
2,0,50,83.9688491821289
2,0,51,108.02604675292969
2,0,52,87.54827880859375
2,0,53,141.24819946289062
2,0,54,129.56947326660156
2,0,55,118.04374694824219
2,0,56,134.41653442382812
2,0,57,47.947105407714844
2,0,58,73.80320739746094
2,0,59,87.18318176269531
2,0,60,121.61552429199219
2,0,61,68.1869125366211
2,0,62,75.27223205566406
2,0,63,124.96580505371094
2,0,64,50.228843688964844
2,0,65,138.6429443359375
2,0,66,78.9121322631836
2,1,0,103.29350280761719
2,1,1,78.39368438720703
2,1,2,123.17413330078125
2,1,3,107.43128967285156
2,1,4,138.2181854248047
2,1,5,135.38812255859375
2,1,6,88.00470733642578
2,1,7,99.47957611083984
2,1,8,90.79664611816406
2,1,9,88.96687316894531
2,1,10,127.78330993652344
2,1,11,76.7365951538086
2,1,12,129.3685302734375
2,1,13,71.365966796875
2,1,14,73.00071716308594
2,1,15,78.40995788574219
2,1,16,133.22885131835938
2,1,17,78.38539123535156
2,1,18,95.01753997802734
2,1,19,136.96728515625
2,1,20,80.52299499511719
2,1,21,72.49391174316406
2,1,22,112.34526062011719
2,1,23,64.21101379394531
2,1,24,135.87026977539062
2,1,25,74.57499694824219
2,1,26,110.7352523803711
2,1,27,90.54624938964844
2,1,28,134.0051727294922
2,1,29,109.1033935546875
2,1,30,131.4470672607422
2,1,31,102.28914642333984
2,1,32,96.5986557006836
2,1,33,84.8783950805664
2,1,34,134.3470916748047
2,1,35,147.84083557128906
2,1,36,120.0428466796875
2,1,37,124.35752868652344
2,1,38,130.04873657226562
2,1,39,86.22669982910156
2,1,40,109.30712890625
2,1,41,127.96345520019531
2,1,42,61.55463409423828
2,1,43,85.0470962524414
2,1,44,80.51130676269531
2,1,45,70.83295440673828
2,1,46,100.61446380615234
2,1,47,95.77610778808594
2,1,48,95.6360855102539
2,1,49,71.5172119140625
2,1,50,86.8747787475586
2,1,51,66.38966369628906
2,1,52,75.56719970703125
2,1,53,89.78560638427734
2,1,54,82.21248626708984
2,1,55,80.7126693725586
2,1,56,79.72447204589844
2,1,57,116.1016616821289
2,1,58,93.54524993896484
2,1,59,123.3512191772461
2,1,60,83.6294937133789
2,1,61,118.0210189819336
2,1,62,94.2115249633789
2,1,63,137.22828674316406
2,1,64,76.533447265625
2,1,65,84.51078796386719
2,1,66,125.97420501708984
2,2,0,91.632568359375
2,2,1,67.46292114257812
2,2,2,79.39546966552734
2,2,3,120.32734680175781
2,2,4,82.99739837646484
2,2,5,135.3363494873047
2,2,6,92.98866271972656
2,2,7,126.11893463134766
2,2,8,137.28204345703125
2,2,9,140.3981170654297
2,2,10,141.18301391601562
2,2,11,132.03443908691406
2,2,12,96.87174987792969
2,2,13,116.08221435546875
2,2,14,129.6171875
2,2,15,125.19242858886719
2,2,16,74.1733627319336
2,2,17,72.94315338134766
2,2,18,85.97379302978516
2,2,19,143.2169952392578
2,2,20,137.31614685058594
2,2,21,136.45008850097656
2,2,22,92.90482330322266
2,2,23,139.8759765625
2,2,24,81.79774475097656
2,2,25,123.45881652832031
2,2,26,111.12855529785156
2,2,27,122.78028869628906
2,2,28,125.2592544555664
2,2,29,135.2054901123047
2,2,30,71.46074676513672
2,2,31,131.01097106933594
2,2,32,83.6633071899414
2,2,33,132.02371215820312
2,2,34,129.48037719726562
2,2,35,138.8538818359375
2,2,36,91.40131378173828
2,2,37,84.53531646728516
2,2,38,138.51016235351562
2,2,39,90.38917541503906
2,2,40,81.91899108886719
2,2,41,76.8147201538086
2,2,42,86.54107666015625
2,2,43,112.69950866699219
2,2,44,79.32789611816406
2,2,45,94.64356994628906
2,2,46,135.1180419921875
2,2,47,72.63407135009766
2,2,48,106.22331237792969
2,2,49,135.0332489013672
2,2,50,125.7724380493164
2,2,51,135.2666778564453
2,2,52,106.30224609375
2,2,53,77.04463195800781
2,2,54,73.27323913574219
2,2,55,111.00048828125
2,2,56,79.38053894042969
2,2,57,126.9857177734375
2,2,58,98.27972412109375
2,2,59,124.3836441040039
2,2,60,58.9459342956543
2,2,61,86.42557525634766
2,2,62,85.49517822265625
2,2,63,128.00619506835938
2,2,64,86.93536376953125
