dataset_id,seed,split,model,feature,n_features,latent_dim,acc_mean,acc_std
3,100,test_data,common_process_h_PCA3,mean,3,10,0.85,0.038729833462074204
3,100,test_data,informed_decoder_h_PCA3,mean,3,10,0.825,0.0570087712549569
3,142,train_data,IDRNN_mu,mean,3,3,0.7150000000000001,0.05385164807134505
3,142,train_data,vanilla_h,mean,10,10,0.9,0.05000000000000001
3,142,train_data,common_process_h,mean,10,10,0.8550000000000001,0.05567764362830018
3,142,train_data,informed_decoder_h,mean,10,10,0.845,0.05999999999999998
3,142,train_data,vanilla_h_PCA3,mean,3,10,0.805,0.050990195135927854
3,142,train_data,common_process_h_PCA3,mean,3,10,0.7849999999999999,0.03391164991562633
3,142,train_data,informed_decoder_h_PCA3,mean,3,10,0.8100000000000002,0.060415229867972875
3,142,test_data,IDRNN_mu,mean,3,3,0.6849999999999999,0.051478150704935
3,142,test_data,vanilla_h,mean,10,10,0.89,0.025495097567963948
3,142,test_data,common_process_h,mean,10,10,0.905,0.018708286933869726
3,142,test_data,informed_decoder_h,mean,10,10,0.9,0.04743416490252569
3,142,test_data,vanilla_h_PCA3,mean,3,10,0.8200000000000001,0.0458257569495584
3,142,test_data,common_process_h_PCA3,mean,3,10,0.8150000000000001,0.053851648071345036
3,142,test_data,informed_decoder_h_PCA3,mean,3,10,0.8550000000000001,0.06964194138592061
4,12,train_data,IDRNN_mu,mean,3,3,0.64,0.05385164807134505
4,12,train_data,vanilla_h,mean,10,10,0.9350000000000002,0.012247448713915848
4,12,train_data,common_process_h,mean,10,10,0.8549999999999999,0.043011626335213146
4,12,train_data,informed_decoder_h,mean,10,10,0.875,0.06123724356957944
4,12,train_data,vanilla_h_PCA3,mean,3,10,0.8550000000000001,0.0678232998312527
4,12,train_data,common_process_h_PCA3,mean,3,10,0.7949999999999999,0.03674234614174765
4,12,train_data,informed_decoder_h_PCA3,mean,3,10,0.765,0.058309518948453015
4,12,test_data,IDRNN_mu,mean,3,3,0.655,0.0640312423743285
4,12,test_data,vanilla_h,mean,10,10,0.8799999999999999,0.036742346141747706
4,12,test_data,common_process_h,mean,10,10,0.7899999999999998,0.07176350047203664
4,12,test_data,informed_decoder_h,mean,10,10,0.825,0.05
4,12,test_data,vanilla_h_PCA3,mean,3,10,0.835,0.02999999999999997
4,12,test_data,common_process_h_PCA3,mean,3,10,0.77,0.05567764362830023
4,12,test_data,informed_decoder_h_PCA3,mean,3,10,0.7350000000000001,0.025495097567963948
4,50,train_data,IDRNN_mu,mean,3,3,0.64,0.06999999999999999
4,50,train_data,vanilla_h,mean,10,10,0.885,0.04636809247747852
4,50,train_data,common_process_h,mean,10,10,0.9350000000000002,0.01999999999999997
4,50,train_data,informed_decoder_h,mean,10,10,0.805,0.050990195135927854
4,50,train_data,vanilla_h_PCA3,mean,3,10,0.7750000000000001,0.047434164902525694
4,50,train_data,common_process_h_PCA3,mean,3,10,0.7449999999999999,0.05099019513592786
4,50,train_data,informed_decoder_h_PCA3,mean,3,10,0.7450000000000001,0.045825756949558406
4,50,test_data,IDRNN_mu,mean,3,3,0.64,0.06819090848492927
4,50,test_data,vanilla_h,mean,10,10,0.835,0.06041522986797287
4,50,test_data,common_process_h,mean,10,10,0.8699999999999999,0.018708286933869722
4,50,test_data,informed_decoder_h,mean,10,10,0.7350000000000001,0.020000000000000018
4,50,test_data,vanilla_h_PCA3,mean,3,10,0.6900000000000001,0.040620192023179784
4,50,test_data,common_process_h_PCA3,mean,3,10,0.665,0.07516648189186453
4,50,test_data,informed_decoder_h_PCA3,mean,3,10,0.7150000000000001,0.02549509756796391
4,76,train_data,IDRNN_mu,mean,3,3,0.825,0.07905694150420946
4,76,train_data,vanilla_h,mean,10,10,0.865,0.025495097567963948
4,76,train_data,common_process_h,mean,10,10,0.9049999999999999,0.0484767985741633
4,76,train_data,informed_decoder_h,mean,10,10,0.8049999999999999,0.018708286933869677
4,76,train_data,vanilla_h_PCA3,mean,3,10,0.835,0.08154753215150047
4,76,train_data,common_process_h_PCA3,mean,3,10,0.8399999999999999,0.06999999999999999
4,76,train_data,informed_decoder_h_PCA3,mean,3,10,0.7550000000000001,0.024494897427831803
4,76,test_data,IDRNN_mu,mean,3,3,0.755,0.03674234614174766
4,76,test_data,vanilla_h,mean,10,10,0.8699999999999999,0.02915475947422653
4,76,test_data,common_process_h,mean,10,10,0.85,0.0570087712549569
4,76,test_data,informed_decoder_h,mean,10,10,0.745,0.018708286933869726
4,76,test_data,vanilla_h_PCA3,mean,3,10,0.79,0.0374165738677394
4,76,test_data,common_process_h_PCA3,mean,3,10,0.77,0.03674234614174767
4,76,test_data,informed_decoder_h_PCA3,mean,3,10,0.7050000000000001,0.062048368229954284
4,100,train_data,IDRNN_mu,mean,3,3,0.745,0.06000000000000001
4,100,train_data,vanilla_h,mean,10,10,0.8800000000000001,0.04301162633521313
4,100,train_data,common_process_h,mean,10,10,0.9199999999999999,0.018708286933869687
4,100,train_data,informed_decoder_h,mean,10,10,0.845,0.04301162633521315
4,100,train_data,vanilla_h_PCA3,mean,3,10,0.8700000000000001,0.033166247903554026
4,100,train_data,common_process_h_PCA3,mean,3,10,0.7750000000000001,0.05700877125495691
4,100,train_data,informed_decoder_h_PCA3,mean,3,10,0.7849999999999999,0.08000000000000002
4,100,test_data,IDRNN_mu,mean,3,3,0.665,0.040620192023179784
4,100,test_data,vanilla_h,mean,10,10,0.8549999999999999,0.02915475947422653
4,100,test_data,common_process_h,mean,10,10,0.8950000000000001,0.06000000000000001
4,100,test_data,informed_decoder_h,mean,10,10,0.7350000000000001,0.07176350047203663
4,100,test_data,vanilla_h_PCA3,mean,3,10,0.8000000000000002,0.02236067977499787
4,100,test_data,common_process_h_PCA3,mean,3,10,0.695,0.018708286933869677
4,100,test_data,informed_decoder_h_PCA3,mean,3,10,0.7300000000000001,0.05099019513592784
4,142,train_data,IDRNN_mu,mean,3,3,0.77,0.043011626335213146
4,142,train_data,vanilla_h,mean,10,10,0.9,0.04743416490252569
4,142,train_data,common_process_h,mean,10,10,0.93,0.039999999999999994
4,142,train_data,informed_decoder_h,mean,10,10,0.8300000000000001,0.039999999999999994
4,142,train_data,vanilla_h_PCA3,mean,3,10,0.8200000000000001,0.0748331477354788
4,142,train_data,common_process_h_PCA3,mean,3,10,0.875,0.05700877125495688
4,142,train_data,informed_decoder_h_PCA3,mean,3,10,0.765,0.043588989435406775
4,142,test_data,IDRNN_mu,mean,3,3,0.74,0.04636809247747852
4,142,test_data,vanilla_h,mean,10,10,0.835,0.03391164991562635
4,142,test_data,common_process_h,mean,10,10,0.8200000000000001,0.04847679857416328
