T,model,dim,r2,r2_lo,r2_hi,auc,auc_lo,auc_hi
40,idrnn_step2_mean,1,0.11026389511446057,0.03366862257574945,0.24533780522378867,0.5887984320820142,0.5039896045816963,0.6605836884621222
40,idrnn_step2_last,1,0.06153586752606472,0.010736325425123297,0.18355864926580234,0.5641356497370544,0.4840136534211414,0.636638352555935
60,vanilla_mean,1,0.11253167939194775,0.03411119994533277,0.24519903346135266,0.6079539911848956,0.5389008436538882,0.6754310590812761
60,vanilla_mean_full,15,0.067363828592904,0.035513638398366854,0.15925468523087696,0.605530724275237,0.533201603749526,0.6754249581287146
60,vanilla_last,1,0.052399555456789565,0.0064545471405654834,0.16598145631755457,0.45720594886529914,0.38722696698982023,0.5333947080982048
60,vanilla_last_full,15,0.06263955199991864,0.04026413044747426,0.14667507717068268,0.5836392901801154,0.514971584435908,0.659443054840383
60,idrnn_step2_mean,1,0.10484282529233932,0.030901081957229463,0.23535479806500667,0.5950306400262503,0.5243751418812503,0.6703718099838181
60,idrnn_step2_last,1,0.0618289905832678,0.0077702598221985825,0.18254811411122543,0.5572893110206544,0.480661269314182,0.6350842825199682
80,vanilla_mean,1,0.10912137339840654,0.02784995343168232,0.24056427793902688,0.6053178847296494,0.5387246348187965,0.6719733256778605
80,vanilla_mean_full,15,0.06884047199409082,0.030621303502332692,0.17269115402042332,0.5928534688411773,0.5186319426051768,0.6704446931883472
80,vanilla_last,1,0.03571565284997787,0.0036147898641623313,0.16692654224246523,0.49828619824230014,0.40692667088643864,0.5840910466231214
80,vanilla_last_full,15,0.030980896118402174,0.02146461022614367,0.09832209865178065,0.5030706538608207,0.4305267766079697,0.5770198167557871
80,idrnn_step2_mean,1,0.09024732132342204,0.015305725232793738,0.22297461045655168,0.5802981527301107,0.5044821802021588,0.656369027405198
80,idrnn_step2_last,1,0.039367369989406445,0.0024810109883736105,0.15728569768551678,0.5318438999299403,0.451958089853728,0.6176524714079954
120,vanilla_mean,1,0.13294798414746894,0.04511473289190437,0.277393237864821,0.6164232314364008,0.5347827456557281,0.6878048900844724
120,vanilla_mean_full,15,0.08220725350716257,0.041430011547723286,0.18108980950700812,0.6083397628612729,0.5371544361370101,0.6761058513256186
120,vanilla_last,1,0.0129220920541385,0.0007501158894910526,0.10495212569393,0.3527881980471972,0.2908917564843898,0.4241560720962076
120,vanilla_last_full,15,0.04074416997340404,0.03011776183813782,0.10125000259201146,0.6211699967187236,0.5454174050709263,0.697868689070302
120,idrnn_step2_mean,1,0.10691347262392335,0.030521097433035285,0.26444681323027863,0.6038147054389372,0.5308995668039496,0.6824550782385849
120,idrnn_step2_last,1,0.1518430208986042,0.05438673421955245,0.2921380347126526,0.6424628195918802,0.5677166074268059,0.7077573482615798
160,vanilla_mean,1,0.1492553947514365,0.05790773937185665,0.31277549033849433,0.6310404306453473,0.5617996107795842,0.6986685530905994
160,vanilla_mean_full,15,0.0978736766711903,0.04375121598158062,0.187430561528232,0.6341731627069642,0.5654606409710462,0.7007159861207101
160,vanilla_last,1,0.012329607934459438,0.0011903668647689758,0.11344004869578177,0.44134275148322555,0.3546688703884275,0.522463064852991
160,vanilla_last_full,15,0.030332461490561447,0.020471795545441766,0.08466395025610313,0.49984923865520886,0.415133861801611,0.5900019112290662
160,idrnn_step2_mean,1,0.1280877062647114,0.043439505714758755,0.27283843044731154,0.6302023749345963,0.5587147616837989,0.7064802975375997
160,idrnn_step2_last,1,0.06264446322912334,0.011305328135425095,0.19533892890788718,0.514246947082768,0.4392622136919489,0.5918596183461741
220,vanilla_mean,1,0.1374820184781767,0.05482601743823445,0.28034336007569016,0.6250144110108992,0.5571431057903101,0.6878518301599287
220,vanilla_mean_full,15,0.0922233667098619,0.0375949255365911,0.19472715261492604,0.6059497521306124,0.5301504083297756,0.6705348801489965
220,vanilla_last,1,0.010345267932885234,0.0007233195082419372,0.10283143808257285,0.4614228323622529,0.36977399966678903,0.5566676403089302
220,vanilla_last_full,15,0.042932079311559276,0.027950860821483136,0.11148333028156966,0.5840494497210915,0.5046392580798267,0.6676286928113067
220,idrnn_step2_mean,1,0.12506294354788003,0.04087540664508924,0.28820812681587304,0.6217952128838872,0.5539632530525511,0.6944717641777676
220,idrnn_step2_last,1,0.03398599367162348,0.004627757456838014,0.14987188498541035,0.5133268594638217,0.4290869375139722,0.5917496138477942
300,vanilla_mean,1,0.15341543675594183,0.05996239599561543,0.3052094215159962,0.6366385541100203,0.5582173946956706,0.7064165646409349
300,vanilla_mean_full,15,0.10347670336032867,0.045819394524827216,0.20424819327641391,0.6145054584475128,0.5449233131196257,0.6940020659758738
300,vanilla_last,1,0.013069959009728021,0.0005985166173317658,0.09349491568636051,0.33306063266554925,0.2615290052101595,0.41307711809721004
300,vanilla_last_full,15,0.0717488534486897,0.04457099833345265,0.13896719518610604,0.660957689272,0.5881464470747517,0.7332069345753239
300,idrnn_step2_mean,1,0.11894155051531752,0.03646302960957298,0.26697816727625784,0.6119624692934614,0.5352392561303269,0.677632048969481
300,idrnn_step2_last,1,0.13948146196121744,0.04447001949826164,0.3063168500498111,0.6266173588386056,0.548807056981026,0.6987630452572524
398,vanilla_mean,1,0.16011748196489836,0.06659960776321593,0.300867842244801,0.6447796667287449,0.5741097019785671,0.7170202468480825
398,vanilla_mean_full,15,0.11094381313674985,0.05590840093207718,0.22133313994489262,0.6061426379688014,0.5255037248405261,0.6839555976029822
398,vanilla_last,1,0.022041336745992526,0.0010155728036168482,0.12240778204159614,0.4527030622289622,0.3695705165095551,0.536673118487067
398,vanilla_last_full,15,0.03449716687303061,0.0223665931665179,0.0996712022762434,0.5059373364904532,0.42693281043009906,0.5840340297490635
398,idrnn_step2_mean,1,0.12439292758701723,0.03842464736745754,0.28922213438530237,0.6085149120706627,0.5352277755501493,0.6785741543402833
398,idrnn_step2_last,1,0.06695782033122669,0.010049061011655864,0.19701314722214158,0.5122848325218825,0.43752268751654766,0.5850401680254248
-1,idrnn_step1_amortised,1,0.15848091260477593,0.08612862969495805,0.2920979475507416,0.6361286260320501,0.5637556159894479,0.7027415692572239
