subid,nll_idrnn_task0,nll_idrnn_task1,nll_idrnn_all,nll_cp_rnn_task0,nll_cp_rnn_task1,nll_cp_rnn_all,nll_vanilla_task0,nll_vanilla_task1,nll_vanilla_all,nll_cog_em,nll_cog_cp,nll_ill_em,nll_ill_cp
63,0.27701836824417114,0.3631819486618042,0.31148383021354675,0.29157406091690063,0.3637998700141907,0.3204643130302429,0.2547226846218109,0.2803258001804352,0.26496395468711853,0.4769394954331534,0.5257105441635971,0.5351954047677944,0.6084086195465904
64,0.4822574853897095,0.5061357617378235,0.4918087124824524,0.4723585247993469,0.5091100931167603,0.48705917596817017,0.42550909519195557,0.503938615322113,0.45688098669052124,0.5571189920626841,0.5599702708123004,0.5601632250988883,0.5953084922592933
65,0.49232518672943115,0.8664977550506592,0.6419942378997803,0.5557875037193298,0.8770371675491333,0.6842873692512512,0.36942678689956665,0.7493610382080078,0.521400511264801,0.6637416341413177,0.7342904493143674,0.7358151595495827,0.7346053974650631
69,0.5754765272140503,0.5105215907096863,0.5494945645332336,0.6056985855102539,0.5120754241943359,0.5682493448257446,0.5184885263442993,0.42315876483917236,0.4803566336631775,0.5402157947690326,0.5757772512573842,0.5966676651209903,0.6160093434275281
70,0.39107686281204224,0.5936708450317383,0.4721144437789917,0.40238580107688904,0.5981824398040771,0.4807044267654419,0.3920530378818512,0.589194655418396,0.4709097146987915,0.5922643405253913,0.6019995203518225,0.6616215880265184,0.6690771687584657
71,0.6932224035263062,0.34734877943992615,0.5548731088638306,0.5971529483795166,0.38883358240127563,0.5138252377510071,0.5270619988441467,0.3536202609539032,0.45768535137176514,0.5273302313370061,0.5654470038112266,0.7059617218346682,0.7381810357447436
72,0.5751562118530273,0.7183138728141785,0.6324191689491272,0.583437979221344,0.7183214426040649,0.6373913288116455,0.5502026677131653,0.6850559115409851,0.6041439771652222,0.6993344369571619,0.7240036150152207,0.778106876376651,0.7756676863012679
73,0.369076669216156,0.5533206462860107,0.4427742660045624,0.4088004231452942,0.5442343354225159,0.46297404170036316,0.2786754071712494,0.48118966817855835,0.359681099653244,0.5793197338564713,0.6153448852640356,0.840794745205509,0.8462346967818629
74,0.5014111995697021,0.49450787901878357,0.49864980578422546,0.48395663499832153,0.505517303943634,0.4925808608531952,0.4173281490802765,0.49283066391944885,0.447529137134552,0.5246151242008523,0.5854685134962074,0.5959423767249084,0.632908982917048
75,0.8943172097206116,0.7379157543182373,0.8317567110061646,0.8849432468414307,0.7374293804168701,0.825937807559967,0.7764065265655518,0.7295142412185669,0.7576496005058289,0.6986768987451177,0.7163048402147387,0.7618954669723572,0.7585248617722682
76,0.4907347857952118,0.5258731842041016,0.5047901272773743,0.48736363649368286,0.5260912775993347,0.5028546452522278,0.46092814207077026,0.5129430890083313,0.48173412680625916,0.6194548375933661,0.6221441161349686,0.6888672432943963,0.6959441123709503
77,0.30466750264167786,0.6437044143676758,0.44028228521347046,0.3230738043785095,0.6370388865470886,0.44865986704826355,0.29235392808914185,0.614707350730896,0.42129525542259216,0.595903391650443,0.6250752138401904,0.770026692549425,0.7666027662195647
78,0.3947337865829468,0.7639473080635071,0.5424191951751709,0.38139036297798157,0.7612465023994446,0.5333328247070312,0.3798327147960663,0.7603436708450317,0.532037079334259,0.6708130900489594,0.6653671906915217,0.6739147670863527,0.6843169125210382
79,0.5480086803436279,0.7157886028289795,0.6151207685470581,0.5457298755645752,0.7128711938858032,0.6125864386558533,0.5398102402687073,0.7050444483757019,0.6059039831161499,0.6218012523846004,0.6561721758206777,0.6929887750117111,0.6926677357142701
80,0.28092706203460693,0.3426935076713562,0.30563366413116455,0.34918826818466187,0.3796564042568207,0.36137551069259644,0.2843691408634186,0.36268264055252075,0.3156944513320923,0.5075157719181083,0.5431945487750341,0.7387592803418402,0.7392350211773416
82,0.5842972993850708,0.5974022746086121,0.5895392894744873,0.543267548084259,0.6114543676376343,0.5705423355102539,0.5291237235069275,0.6118876934051514,0.5622292757034302,0.6502052672970912,0.6816343504273976,0.8685139009138009,0.8839841037927784
83,0.3702896237373352,0.5269864201545715,0.43296828866004944,0.3851124942302704,0.5359712839126587,0.44545602798461914,0.3703663647174835,0.5262557864189148,0.43272215127944946,0.5662830291488914,0.5923028092820077,0.67027811438296,0.6754621053724552
84,0.5410137176513672,0.8952760100364685,0.6827186942100525,0.572844922542572,0.8974984288215637,0.702706515789032,0.44264185428619385,0.8502575755119324,0.6056881546974182,0.6772187019333762,0.6942204387932666,0.7451209519336043,0.7528261020686364
85,0.5704028010368347,0.7331382632255554,0.6354970335960388,0.5457931160926819,0.7286019921302795,0.6189166903495789,0.464395135641098,0.6528006792068481,0.5397574305534363,0.6480601328976883,0.6471074079132202,0.7311409791694564,0.7275874346582443
